REGI?N,PROVINCIA,DISTRITO,CODIGO DEL RECURSO,NOMBRE DEL RECURSO,CATEGOR?A,TIPO DE CATEGOR?A,SUB TIPO CATEGOR?A,URL,LATITUD,LONGITUD,FECHA_DE_CORTE
Lima,Lima,LIMA,4132,Pinacoteca Municipal Ignacio Merino - Hospicio Bartolom? Manrique,2. MANIFESTACIONES CULTURALES,Museos y otros,Pinacotecas(Pinturas),http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4132,-77.03812636,-12.0530783,20241201
Arequipa,Caylloma,COPORAQUE,4703,Aguas Termales De Sallihua,1. SITIOS NATURALES,k. Agua termo-mineral,Otros,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4703,-71.647782,-15.640206,20241201
Puno,Yunguyo,YUNGUYO,4730,Cerro Asiru Phatjata,1. SITIOS NATURALES,a. Monta?as,Cerros,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4730,-69.14416709,-16.26750063,20241201
Ayacucho,Huamanga,ACOCRO,12297,Iglesia Colonial De Santo Domingo De Acocro,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Iglesias,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=12297,-74.04157942,-13.21939861,20241201
Pasco,Pasco,SIMON BOL?VAR,12968,Centro De Producci?n Agropecuaria San Antonio De Rancas,"4. REALIZACIONES T?CNICAS, CIENT?FICAS Y ART?STICAS CONTEMPOR?NEAS",Explotaciones  Agropecuarias y Pesqueras,Granader?a,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=12968,-76.3424921,-10.59990207,20241201
Pasco,Oxapampa,OXAPAMPA,7090,Torneo De Cintas A Caballo,5. ACONTECIMIENTOS PROGRAMADOS,Art?sticos,Otros,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=7090,-75.4041,-10.5728,20241201
Jun?n,Jauja,PACA,9053,Pueblo Tradicional De Paca,2. MANIFESTACIONES CULTURALES,Pueblos,Tradicionales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=9053,-75.519158,-11.708717,20241201
Ayacucho,La Mar,TAMBO,12007,Catarata De Tomacucho,1. SITIOS NATURALES,j. Ca?das de agua,Cataratas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=12007,-73.9976937,-12.97553469,20241201
Jun?n,Yauli,MARCAPOMACOCHA,10243,Laguna De Marcapomacocha,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagunas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=10243,-76.347,-11.4,20241201
Loreto,Loreto,URARINAS,11181,Centro Poblado Maypuco,2. MANIFESTACIONES CULTURALES,Pueblos,Tradicionales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11181,-75.116663,-4.822737,20241201
Huanuco,Huamalies,MONZ?N,11237,Bosque Mapa Del Per?,1. SITIOS NATURALES,?. Zonas paisaj?sticas,Bosques,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11237,-76.284831,-9.224933,20241201
Moquegua,Mariscal Nieto,MOQUEGUA,11512,Bodega San Jos? De La Chimba,"4. REALIZACIONES T?CNICAS, CIENT?FICAS Y ART?STICAS CONTEMPOR?NEAS",Explotaciones Industriales,"Bodegas de pisco, vinos y/u otros licores",http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11512,-70.9484,-17.1827,20241201
Lima,Huarochiri,SAN DAMIAN,12835,Sitio Arqueol?gico Conchasica,2. MANIFESTACIONES CULTURALES,Sitios Arqueol?gicos,Zonas arqueol?gicas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=12835,-76.38507,-12.0385,20241201
Jun?n,Tarma,PALCA,12898,Mirador Carpapata,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Miradores,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=12898,-75.553258,-11.262244,20241201
Cusco,La Convencion,KIMBIRI,13078,Playas De Progreso,1. SITIOS NATURALES,l. Costas,Playas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=13078,-73.666738,-12.709683,20241201
Ayacucho,Huamanga,AYACUCHO,13143,Ca?ones De Ccorihuillca,1. SITIOS NATURALES,e. Ca?ones,Ca?ones,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=13143,-74.24696899,-13.14152093,20241201
Puno,Puno,CAPACHICA,957,Pen?nsula De Capachica,1. SITIOS NATURALES,l. Costas,Pen?nsulas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=957,-69.83068943,-15.64209932,20241201
Ancash,Huari,HUARI,1046,Catarata Maria Jiray,1. SITIOS NATURALES,j. Ca?das de agua,Cataratas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=1046,-77.20354082,-9.341066841,20241201
Jun?n,Huancayo,EL TAMBO,1192,Pueblo Artesanal De Cochas Chico,2. MANIFESTACIONES CULTURALES,Pueblos,Artesanales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=1192,-75.19584,-12.00792,20241201
Lambayeque,Chiclayo,SANTA ROSA,1521,Playa Hondos,1. SITIOS NATURALES,l. Costas,Playas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=1521,-79.919616,-6.8858454,20241201
Lambayeque,Chiclayo,CHICLAYO,2346,Palacio Municipal De Chiclayo,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Palacio,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=2346,-79.83814,-6.771306,20241201
Arequipa,Arequipa,AREQUIPA,2744,Casa Tristan Del Pozo,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Casa de Valor Arquitect?nico,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=2744,-71.53600037,-16.39808926,20241201
Ancash,Carhuaz,CARHUAZ,2909,Danza Los Huanquillas (Wankillas) De Pariacaca,3. FOLCLORE,M?sicas y Danzas,M?sica y Danzas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=2909,-77.6472,-9.28075,20241201
Ayacucho,La Mar,TAMBO,12372,Laguna De Osccoccocha,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagunas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=12372,-74.102158,-12.958048,20241201
Cusco,Canchis,SAN PABLO,3644,Templo De San Pablo,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Templo,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3644,-71.314407,-14.201361,20241201
Amazonas,Bongara,CUISPES,5882,Catarata Yumbilla,1. SITIOS NATURALES,j. Ca?das de agua,Cataratas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=5882,-77.90381307,-5.919824357,20241201
Ica,Pisco,PARACAS,8072,Plazuela Del Desembarco De Don Jos? De San Mart?n,2. MANIFESTACIONES CULTURALES,Lugares Hist?ricos,Plazuelas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=8072,-76.21905148,-13.71699269,20241201
Piura,Ayabaca,PACAIPAMPA,8749,Laguna El P?ramo,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagunas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=8749,-79.64191818,-4.986994541,20241201
Piura,Huancabamba,CANCHAQUE,8826,Catarata De Chorro Blanco,1. SITIOS NATURALES,j. Ca?das de agua,Cataratas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=8826,-79.5994,-5.33824,20241201
Ancash,Huari,SAN MARCOS,11692,Roc?dromo San Marcos,1. SITIOS NATURALES,o. Otros,Formaciones rocosas(bosque de piedra),http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11692,-77.152697,-9.525036,20241201
Ayacucho,Huanca Sancos,SANTIAGO DE LUCANAMARCA,12963,Iglesia Matriz De Santiago De Lucanamarca,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Iglesias,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=12963,-74.37219513,-13.10438055,20241201
Ayacucho,Huamanga,ACOCRO,12335,Lagunas De Tarhuiyocc,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagunas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=12335,-73.98760471,-13.41721434,20241201
Ayacucho,Huamanga,QUINUA,12280,Bosque De Usqu Willka,1. SITIOS NATURALES,?. Zonas paisaj?sticas,Bosques,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=12280,-74.100702,-13.048928,20241201
Tacna,Candarave,CANDARAVE,11669,Garganta Del Diablo,1. SITIOS NATURALES,k. Agua termo-mineral,Geiser,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11669,-70.142622,-17.21799,20241201
Ancash,Bolognesi,HUALLANCA,11461,Laguna Cochahua?n,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagunas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11461,-76.97785472,-9.990072271,20241201
Piura,Ayabaca,PACAIPAMPA,13177,Laguna Azul De La Felicidad,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagunas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=13177,-79.47355302,-4.98946626,20241201
Cusco,Quispicanchi,OCONGATE,13152,Laguna De Armacocha,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagunas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=13152,-71.190583,-13.693413,20241201
Piura,Talara,MANCORA,407,Playa M?ncora,1. SITIOS NATURALES,l. Costas,Playas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=407,-81.0572201,-4.105743894,20241201
Cajamarca,Contumaza,TANTARICA,668,Complejo Arquel?gico Tantarica,2. MANIFESTACIONES CULTURALES,Sitios Arqueol?gicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=668,-78.9667,-7.27515,20241201
Ayacucho,Huamanga,ANDR?S AVELINO C?CERES DORREGARAY,12352,Valle La Glorieta,1. SITIOS NATURALES,c. Valles,Valles,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=12352,-74.19093054,-13.14207954,20241201
Ayacucho,Huamanga,ANDR?S AVELINO C?CERES DORREGARAY,12360,Valle De Santiago De Huatatas,1. SITIOS NATURALES,c. Valles,Valles,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=12360,-74.1952143,-13.15649436,20241201
Piura,Paita,PAITA,3367,Bas?lica Nuestra Se?ora De La Merced,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Santuario,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3367,-81.11530133,-5.085831995,20241201
Puno,Azangaro,ASILLO,4047,Sitio Arqueol?gico De Inampu,2. MANIFESTACIONES CULTURALES,Sitios Arqueol?gicos,Recintos ceremoniales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4047,-70.3633976,-14.6180944,20241201
Ancash,Mariscal Luzuriaga,PISCOBAMBA,11864,Qhapaq ?an - Tramo Piscobamba,2. MANIFESTACIONES CULTURALES,Sitios Arqueol?gicos,Otros,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11864,-77.35380514,-8.857442239,20241201
Piura,Huancabamba,CANCHAQUE,5421,Mirador Natural Del Cerro Huayanay,1. SITIOS NATURALES,?. Zonas paisaj?sticas,Miradores naturales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=5421,-79.6146,-5.3964,20241201
Arequipa,Arequipa,YURA,6658,Catarata De Corontorio O Capua,1. SITIOS NATURALES,j. Ca?das de agua,Cataratas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6658,-71.68873068,-16.20853447,20241201
